event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible
9,50,5e-05,0.0,0.02,0.00021319005605327846,4.09,1.0,0.0,0.0,1.0,1.0,50,50
10,50,5e-05,0.0,0.02,0.00021319005605327846,4.11,1.0,0.0,0.0,1.0,1.0,50,50
11,50,5e-05,0.0,0.02,0.00021319005605327846,4.11,0.96,0.02040816326530612,0.0,1.0,1.0,49,50
12,50,5e-05,0.0,0.02,0.00021319005605327846,4.09,1.0,0.0,0.0,1.0,1.0,50,50
13,50,5e-05,0.0,0.02,0.00021319005605327846,4.07,1.0,0.0,0.0,1.0,1.0,50,50
14,50,5e-05,0.0,0.02,0.00021319005605327846,4.12,1.0,0.0,0.0,1.0,1.0,50,50
15,50,5e-05,0.0,0.02,0.00021319005605327846,4.09,1.0,0.0,0.0,1.0,1.0,50,50
16,50,5e-05,0.0,0.02,0.00021319005605327846,4.08,1.0,0.0,0.0,1.0,1.0,50,50
17,50,5e-05,0.0,0.02,0.00021319005605327846,4.1,1.0,0.0,0.0,1.0,1.0,50,50
18,50,5e-05,0.0,0.02,0.00021319005605327846,4.09,1.0,0.0,0.0,1.0,1.0,50,50
19,50,5e-05,0.0,0.02,0.00021319005605327846,4.09,1.0,0.0,0.0,1.0,1.0,50,50
0,100,5e-05,0.0,0.02,0.00021319005605327846,65.37,1.0,0.0,0.0,1.0,1.0,100,100
1,100,5e-05,0.0,0.02,0.00021319005605327846,67.97,1.0,0.0,0.0,1.0,1.0,100,100
2,100,5e-05,0.0,0.02,0.00021319005605327846,67.16,1.0,0.0,0.0,1.0,1.0,100,100
3,100,5e-05,0.0,0.02,0.00021319005605327846,66.08,1.0,0.0,0.0,1.0,1.0,100,100
4,100,5e-05,0.0,0.02,0.00021319005605327846,70.11,1.0,0.0,0.0,1.0,1.0,100,100
5,100,5e-05,0.0,0.02,0.00021319005605327846,67.55,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
6,100,5e-05,0.0,0.02,0.00021319005605327846,61.84,1.0,0.0,0.0,1.0,1.0,100,100
7,100,5e-05,0.0,0.02,0.00021319005605327846,69.72,0.96,0.010309278350515464,0.0,1.0,1.0,97,100
8,100,5e-05,0.0,0.02,0.00021319005605327846,59.71,1.0,0.0,0.0,1.0,0.998,100,100
9,100,5e-05,0.0,0.02,0.00021319005605327846,68.98,1.0,0.0,0.0,1.0,1.0,100,100
10,100,5e-05,0.0,0.02,0.00021319005605327846,63.98,1.0,0.0,0.0,1.0,1.0,100,100
11,100,5e-05,0.0,0.02,0.00021319005605327846,65.05,1.0,0.0,0.0,1.0,1.0,100,100
12,100,5e-05,0.0,0.02,0.00021319005605327846,68.18,1.0,0.0,0.0,1.0,1.0,100,100
13,100,5e-05,0.0,0.02,0.00021319005605327846,61.17,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
14,100,5e-05,0.0,0.02,0.00021319005605327846,68.36,1.0,0.0,0.0,1.0,1.0,100,100
15,100,5e-05,0.0,0.02,0.00021319005605327846,65.24,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
16,100,5e-05,0.0,0.02,0.00021319005605327846,68.86,1.0,0.0,0.0,1.0,1.0,100,100
17,100,5e-05,0.0,0.02,0.00021319005605327846,70.33,1.0,0.0,0.0,1.0,1.0,100,100
18,100,5e-05,0.0,0.02,0.00021319005605327846,70.04,1.0,0.0,0.0,1.0,1.0,100,100
19,100,5e-05,0.0,0.02,0.00021319005605327846,70.88,1.0,0.0,0.0,1.0,1.0,100,100
0,10,0.0001,0.0,0.02,0.0004247940677551889,0.07,1.0,0.0,0.0,1.0,1.0,10,10
1,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
2,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
3,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
4,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
5,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
6,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
7,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
8,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
9,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
10,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
11,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
12,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
13,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
14,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
15,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
16,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
17,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
18,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,0.9800000000000001,10,10
19,10,0.0001,0.0,0.02,0.0004247940677551889,0.03,1.0,0.0,0.0,1.0,1.0,10,10
0,20,0.0001,0.0,0.02,0.0004247940677551889,0.33,1.0,0.0,0.0,1.0,1.0,20,20
1,20,0.0001,0.0,0.02,0.0004247940677551889,0.28,1.0,0.0,0.0,1.0,1.0,20,20
2,20,0.0001,0.0,0.02,0.0004247940677551889,0.21,1.0,0.0,0.0,1.0,1.0,20,20
3,20,0.0001,0.0,0.02,0.0004247940677551889,0.21,1.0,0.0,0.0,1.0,1.0,20,20
4,20,0.0001,0.0,0.02,0.0004247940677551889,0.28,0.9,0.05263157894736842,0.0,1.0,1.0,19,20
5,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
6,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
7,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
8,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
9,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
10,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
11,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
12,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
13,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
14,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
15,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
16,20,0.0001,0.0,0.02,0.0004247940677551889,0.36,0.1,0.5,0.0,1.0,1.0,4,20
17,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
18,20,0.0001,0.0,0.02,0.0004247940677551889,0.34,1.0,0.0,0.0,1.0,1.0,20,20
19,20,0.0001,0.0,0.02,0.0004247940677551889,0.33,1.0,0.0,0.0,1.0,1.0,20,20
0,50,0.0001,0.0,0.02,0.0004247940677551889,6.12,0.02,0.875,0.0,1.0,1.0,8,50
1,50,0.0001,0.0,0.02,0.0004247940677551889,5.98,1.0,0.0,0.0,1.0,1.0,50,50
2,50,0.0001,0.0,0.02,0.0004247940677551889,6.06,1.0,0.0,0.0,1.0,1.0,50,50
3,50,0.0001,0.0,0.02,0.0004247940677551889,6.04,1.0,0.0,0.0,1.0,1.0,50,50
4,50,0.0001,0.0,0.02,0.0004247940677551889,5.94,1.0,0.0,0.0,1.0,1.0,50,50
5,50,0.0001,0.0,0.02,0.0004247940677551889,6.14,1.0,0.0,0.0,1.0,1.0,50,50
6,50,0.0001,0.0,0.02,0.0004247940677551889,6.01,1.0,0.0,0.0,1.0,1.0,50,50
7,50,0.0001,0.0,0.02,0.0004247940677551889,6.1,1.0,0.0,0.0,1.0,1.0,50,50
8,50,0.0001,0.0,0.02,0.0004247940677551889,6.09,1.0,0.0,0.0,1.0,1.0,50,50
9,50,0.0001,0.0,0.02,0.0004247940677551889,6.02,1.0,0.0,0.0,1.0,1.0,50,50
10,50,0.0001,0.0,0.02,0.0004247940677551889,6.08,1.0,0.0,0.0,1.0,1.0,50,50
11,50,0.0001,0.0,0.02,0.0004247940677551889,6.03,1.0,0.0,0.0,1.0,1.0,50,50
12,50,0.0001,0.0,0.02,0.0004247940677551889,6.12,0.76,0.11627906976744186,0.0,1.0,1.0,43,50
13,50,0.0001,0.0,0.02,0.0004247940677551889,6.16,1.0,0.0,0.0,1.0,1.0,50,50
14,50,0.0001,0.0,0.02,0.0004247940677551889,5.92,1.0,0.0,0.0,1.0,1.0,50,50
15,50,0.0001,0.0,0.02,0.0004247940677551889,5.98,1.0,0.0,0.0,1.0,1.0,50,50
16,50,0.0001,0.0,0.02,0.0004247940677551889,5.98,1.0,0.0,0.0,1.0,1.0,50,50
17,50,0.0001,0.0,0.02,0.0004247940677551889,6.03,1.0,0.0,0.0,1.0,1.0,50,50
18,50,0.0001,0.0,0.02,0.0004247940677551889,5.96,1.0,0.0,0.0,1.0,1.0,50,50
19,50,0.0001,0.0,0.02,0.0004247940677551889,5.97,1.0,0.0,0.0,1.0,1.0,50,50
0,100,0.0001,0.0,0.02,0.0004247940677551889,64.89,0.92,0.041666666666666664,0.0,1.0,1.0,96,100
1,100,0.0001,0.0,0.02,0.0004247940677551889,65.19,1.0,0.0,0.0,1.0,1.0,100,100
2,100,0.0001,0.0,0.02,0.0004247940677551889,65.11,1.0,0.0,0.0,1.0,1.0,100,100
3,100,0.0001,0.0,0.02,0.0004247940677551889,65.31,1.0,0.0,0.0,1.0,1.0,100,100
4,100,0.0001,0.0,0.02,0.0004247940677551889,65.01,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
5,100,0.0001,0.0,0.02,0.0004247940677551889,65.23,0.96,0.02040816326530612,0.0,1.0,1.0,98,100
6,100,0.0001,0.0,0.02,0.0004247940677551889,65.5,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
7,100,0.0001,0.0,0.02,0.0004247940677551889,65.37,0.94,0.020833333333333332,0.0,1.0,1.0,96,100
8,100,0.0001,0.0,0.02,0.0004247940677551889,65.36,0.76,0.11627906976744186,0.0,1.0,1.0,86,100
9,100,0.0001,0.0,0.02,0.0004247940677551889,65.47,1.0,0.0,0.0,1.0,1.0,100,100
10,100,0.0001,0.0,0.02,0.0004247940677551889,65.49,1.0,0.0,0.0,1.0,1.0,100,100
11,100,0.0001,0.0,0.02,0.0004247940677551889,65.95,1.0,0.0,0.0,1.0,1.0,100,100
12,100,0.0001,0.0,0.02,0.0004247940677551889,65.92,1.0,0.0,0.0,1.0,1.0,100,100
13,100,0.0001,0.0,0.02,0.0004247940677551889,65.2,1.0,0.0,0.0,1.0,1.0,100,100
14,100,0.0001,0.0,0.02,0.0004247940677551889,65.52,0.96,0.010309278350515464,0.0,1.0,1.0,97,100
15,100,0.0001,0.0,0.02,0.0004247940677551889,65.11,1.0,0.0,0.0,1.0,1.0,100,100
16,100,0.0001,0.0,0.02,0.0004247940677551889,65.27,1.0,0.0,0.0,1.0,1.0,100,100
17,100,0.0001,0.0,0.02,0.0004247940677551889,65.0,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
18,100,0.0001,0.0,0.02,0.0004247940677551889,65.65,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
19,100,0.0001,0.0,0.02,0.0004247940677551889,65.71,1.0,0.0,0.0,1.0,1.0,100,100
0,10,0.0002,0.0,0.02,0.0008487932610477066,0.06,1.0,0.0,0.0,1.0,1.0,10,10
1,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
2,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
3,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
4,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
5,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
6,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
7,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
8,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
9,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
10,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
11,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
12,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
13,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,0.0,1.0,0.0,0.0,0.0,1,10
14,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
15,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
16,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
17,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
18,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,0.8,0.1111111111111111,0.0,1.0,1.0,9,10
19,10,0.0002,0.0,0.02,0.0008487932610477066,0.03,1.0,0.0,0.0,1.0,1.0,10,10
0,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
1,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
2,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
3,20,0.0002,0.0,0.02,0.0008487932610477066,0.27,1.0,0.0,0.0,1.0,1.0,20,20
4,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,0.0,1.0,0.0,0.0,0.0,1,20
5,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,0.8,0.1111111111111111,0.0,1.0,1.0,18,20
6,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,0.8,0.058823529411764705,0.0,1.0,1.0,17,20
7,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
8,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
9,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
10,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
11,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,0.9,0.05263157894736842,0.0,1.0,1.0,19,20
12,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
13,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
14,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
15,20,0.0002,0.0,0.02,0.0008487932610477066,0.26,1.0,0.0,0.0,1.0,1.0,20,20
16,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
17,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,0.9,0.05263157894736842,0.0,1.0,1.0,19,20
18,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
19,20,0.0002,0.0,0.02,0.0008487932610477066,0.25,1.0,0.0,0.0,1.0,1.0,20,20
0,50,0.0002,0.0,0.02,0.0008487932610477066,4.88,1.0,0.0,0.0,1.0,1.0,50,50
1,50,0.0002,0.0,0.02,0.0008487932610477066,4.9,1.0,0.0,0.0,1.0,1.0,50,50
2,50,0.0002,0.0,0.02,0.0008487932610477066,4.89,1.0,0.0,0.0,1.0,1.0,50,50
3,50,0.0002,0.0,0.02,0.0008487932610477066,4.87,0.48,0.07692307692307693,0.0,1.0,1.0,26,50
4,50,0.0002,0.0,0.02,0.0008487932610477066,4.92,0.96,0.02040816326530612,0.0,1.0,1.0,49,50
5,50,0.0002,0.0,0.02,0.0008487932610477066,4.85,0.92,0.041666666666666664,0.0,1.0,1.0,48,50
6,50,0.0002,0.0,0.02,0.0008487932610477066,4.87,1.0,0.0,0.0,1.0,1.0,50,50
7,50,0.0002,0.0,0.02,0.0008487932610477066,4.87,0.74,0.11904761904761904,0.0,1.0,1.0,42,50
8,50,0.0002,0.0,0.02,0.0008487932610477066,4.88,1.0,0.0,0.0,1.0,1.0,50,50
9,50,0.0002,0.0,0.02,0.0008487932610477066,4.89,1.0,0.0,0.0,1.0,0.996,50,50
10,50,0.0002,0.0,0.02,0.0008487932610477066,4.88,0.92,0.02127659574468085,0.0,1.0,1.0,47,50
11,50,0.0002,0.0,0.02,0.0008487932610477066,4.9,1.0,0.0,0.0,1.0,1.0,50,50
12,50,0.0002,0.0,0.02,0.0008487932610477066,4.79,1.0,0.0,0.0,1.0,1.0,50,50
13,50,0.0002,0.0,0.02,0.0008487932610477066,4.85,1.0,0.0,0.0,1.0,1.0,50,50
14,50,0.0002,0.0,0.02,0.0008487932610477066,4.83,1.0,0.0,0.0,1.0,1.0,50,50
15,50,0.0002,0.0,0.02,0.0008487932610477066,4.86,0.84,0.06666666666666667,0.0,1.0,1.0,45,50
16,50,0.0002,0.0,0.02,0.0008487932610477066,4.84,0.96,0.02040816326530612,0.0,1.0,1.0,49,50
17,50,0.0002,0.0,0.02,0.0008487932610477066,4.83,1.0,0.0,0.0,1.0,1.0,50,50
18,50,0.0002,0.0,0.02,0.0008487932610477066,4.88,1.0,0.0,0.0,1.0,1.0,50,50
19,50,0.0002,0.0,0.02,0.0008487932610477066,4.84,0.96,0.02040816326530612,0.0,1.0,1.0,49,50
0,100,0.0002,0.0,0.02,0.0008487932610477066,63.65,0.94,0.020833333333333332,0.0,1.0,1.0,96,100
1,100,0.0002,0.0,0.02,0.0008487932610477066,61.14,1.0,0.0,0.0,1.0,1.0,100,100
2,100,0.0002,0.0,0.02,0.0008487932610477066,68.77,1.0,0.0,0.0,1.0,1.0,100,100
3,100,0.0002,0.0,0.02,0.0008487932610477066,65.45,0.87,0.05434782608695652,0.0,1.0,1.0,92,100
4,100,0.0002,0.0,0.02,0.0008487932610477066,59.18,1.0,0.0,0.0,1.0,1.0,100,100
5,100,0.0002,0.0,0.02,0.0008487932610477066,66.36,0.92,0.02127659574468085,0.0,1.0,1.0,94,100
6,100,0.0002,0.0,0.02,0.0008487932610477066,64.1,0.92,0.02127659574468085,0.0,1.0,1.0,94,100
7,100,0.0002,0.0,0.02,0.0008487932610477066,60.16,1.0,0.0,0.0,1.0,1.0,100,100
8,100,0.0002,0.0,0.02,0.0008487932610477066,48.18,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
9,100,0.0002,0.0,0.02,0.0008487932610477066,45.25,0.98,0.0,0.0,1.0,1.0,98,100
10,100,0.0002,0.0,0.02,0.0008487932610477066,44.58,0.94,0.020833333333333332,0.0,1.0,1.0,96,100
11,100,0.0002,0.0,0.02,0.0008487932610477066,58.48,0.0,1.0,0.0,0.0,0.0,1,100
12,100,0.0002,0.0,0.02,0.0008487932610477066,67.45,0.96,0.010309278350515464,0.0,1.0,1.0,97,100
13,100,0.0002,0.0,0.02,0.0008487932610477066,63.51,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
14,100,0.0002,0.0,0.02,0.0008487932610477066,67.75,1.0,0.0,0.0,1.0,1.0,100,100
15,100,0.0002,0.0,0.02,0.0008487932610477066,75.86,0.49,0.09259259259259259,0.0,1.0,1.0,54,100
16,100,0.0002,0.0,0.02,0.0008487932610477066,72.9,0.86,0.044444444444444446,0.0,1.0,1.0,90,100
17,100,0.0002,0.0,0.02,0.0008487932610477066,68.23,0.98,0.010101010101010102,0.0,1.0,1.0,99,100
18,100,0.0002,0.0,0.02,0.0008487932610477066,69.34,1.0,0.0,0.0,1.0,1.0,100,100
19,100,0.0002,0.0,0.02,0.0008487932610477066,66.63,0.96,0.010309278350515464,0.0,1.0,1.0,97,100
0,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
1,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
2,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
3,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
4,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
5,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,0.7,0.125,0.0,1.0,1.0,8,10
6,10,0.0004,0.0,0.02,0.0016971888521905864,0.04,1.0,0.0,0.0,1.0,1.0,10,10
