sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.0,0.0005,20,sol_f15cbdbc9a3601f3,ev_72083a564632,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,50,sol_e268bdd9275d32bb,ev_724cf9925e6e,hm_f442e5139114,0.5669752359390259,False
0.0,0.0003,200,sol_1c723919da5f452e,ev_72c1565c663e,hm_a0f8ed47a107,0.5669618248939514,False
0.0,0.0005,10,sol_3289ec35b65f7e2a,ev_731e0ffa08e8,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,100,sol_acdd9af7c38b9274,ev_7342aee4658b,hm_f442e5139114,0.567004919052124,False
0.0,0.0005,200,sol_7fe8d411225e1857,ev_7384a8ba40af,hm_7a9cff01f511,0.6848497986793518,False
0.02,0.0005,700,sol_75176872ae862b41,ev_73acf675c005,hm_f442e5139114,2.3556723594665527,False
0.0,0.0003,10,sol_b07440762569a2f6,ev_7446847db458,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0003,200,sol_85aec5869b11d433,ev_745cf592370b,hm_3298667cddaa,0.9596967697143555,False
0.0,0.0005,20,sol_d3ec7efbdb890a53,ev_747f6248fe15,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0003,50,sol_661799b76b9c950a,ev_74b69dc7d877,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0005,200,sol_7ae8524ee4e7bdfd,ev_74d067c07108,hm_f442e5139114,1.2213629484176636,False
0.02,0.0005,100,sol_c0febecdc84bb7aa,ev_7502087824b4,hm_f442e5139114,1.3271164894104004,False
0.01,0.0005,400,sol_766ea0f16f06619e,ev_752652aa1254,hm_bd4d3751a16f,1.0563753843307495,False
0.01,0.0001,10,sol_35b84dcb6badd3c5,ev_75458a74c1e1,hm_844cdcf42c7e,0.4545454680919647,False
0.05,0.0005,1000,sol_06b1b141187f86f5,ev_754f7c61b0d0,hm_af8fc4d5852f,783.2201538085938,True
0.0,0.0001,400,sol_de3d4d8dc7e27fcb,ev_7585ced5899d,hm_a00ad2a2c52a,0.5996867418289185,False
0.01,0.0005,1000,sol_d48c39f3928e2c1d,ev_7585e02ea3ae,hm_bd4d3751a16f,2.318561553955078,False
0.0,0.0001,1000,sol_9eb40282e0d9d206,ev_760ac90374d8,hm_a00ad2a2c52a,0.5994935631752014,False
0.05,0.0005,50,sol_72ec8e5281ac8e53,ev_760e20d29905,hm_af8fc4d5852f,0.6983010768890381,False
0.01,0.0005,700,sol_a3ec01e711a8777d,ev_7624c17b56c1,hm_bd4d3751a16f,1.5765845775604248,False
0.0,0.0005,200,sol_be5295c69a1236f1,ev_7680f240027a,hm_7a9cff01f511,0.5996600985527039,False
0.01,0.0003,400,sol_f897fc8e76b0b572,ev_768a30ac175c,hm_3298667cddaa,0.9942888617515564,False
0.01,0.0005,700,sol_9e72a7415dd440a0,ev_76b7b8d00605,hm_bd4d3751a16f,1.4344819784164429,False
0.05,0.0001,400,sol_61827eb137bc04a0,ev_76f7cfac6a7a,hm_9108b6e19b67,971.7216186523438,True
0.05,0.0003,200,sol_00ca78f54d06bef9,ev_7701569e5bb0,hm_8c986396d3ec,64.01453399658203,True
0.0,0.0003,100,sol_e7be237e0029995b,ev_7771b816fa6f,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0005,400,sol_70c0d49b5dc38cf1,ev_77798ef2037f,hm_bd4d3751a16f,1.4999487400054932,False
0.0,0.0005,20,sol_deafdb3fa656f066,ev_77bd7f813caa,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0001,200,sol_fe2ad0fd6ec027ef,ev_77e465dbef37,hm_979a58ab8892,1.6608260869979858,False
0.01,0.0001,100,sol_0a27469322f533dd,ev_78293718ca7e,hm_844cdcf42c7e,0.6848067045211792,False
0.05,0.0001,10,sol_64d84dfbae50bb26,ev_782a83ac3b76,hm_9108b6e19b67,0.4545454680919647,False
0.05,0.0003,700,sol_6224653c195d5928,ev_7836f5c494d9,hm_8c986396d3ec,1042.258056640625,True
0.02,0.0001,1000,sol_6c6ec4535404520c,ev_7845c2642ea7,hm_979a58ab8892,11.51793098449707,False
0.01,0.0001,400,sol_06b625f4711f1295,ev_784a79848032,hm_844cdcf42c7e,0.6416096687316895,False
0.01,0.0005,20,sol_ded84a100eb08784,ev_786d2bfcdf6f,hm_bd4d3751a16f,0.4545454680919647,False
0.05,0.0005,700,sol_9e59b5c0a0e4293e,ev_78706ebfbfa3,hm_af8fc4d5852f,2237.1865234375,True
0.05,0.0005,400,sol_62a0fa72cea5a4a0,ev_78c91fed8870,hm_af8fc4d5852f,262.6868591308594,True
0.0,0.0001,400,sol_7a4c3ff4903c6ab4,ev_78d280a11262,hm_a00ad2a2c52a,0.5669736266136169,False
0.02,0.0001,1000,sol_05d20fd34622726d,ev_790d277f540c,hm_979a58ab8892,21.785480499267578,False
0.05,0.0003,200,sol_e24b5e2ea5f9a0b5,ev_7995ed9f0b06,hm_8c986396d3ec,4.377574443817139,False
0.05,0.0003,200,sol_afde173d6bdfae47,ev_79b9a80b1373,hm_8c986396d3ec,5.314382076263428,False
0.0,0.0003,100,sol_47fcb1a6f3b51548,ev_79c134b87171,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0003,100,sol_98d247532c484f4d,ev_79ee2f1e812f,hm_8c986396d3ec,1.0163853168487549,False
0.02,0.0003,50,sol_5e8d3a8e56937951,ev_7a07b394ef00,hm_1602ff939866,0.6510093808174133,False
0.0,0.0001,100,sol_90ce84b025b5a7ac,ev_7a3aa76a1c80,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0001,700,sol_eaec4a9ef3aeefc4,ev_7a7abc21ade0,hm_a00ad2a2c52a,0.7607751488685608,False
0.02,0.0005,50,sol_7106b3c4cc4f1f05,ev_7a7c5c78a06f,hm_f442e5139114,0.5669770836830139,False
0.05,0.0005,100,sol_3b0f4e0bc10ac7de,ev_7a7ccea18e8c,hm_af8fc4d5852f,1.1960780620574951,False
0.02,0.0003,700,sol_37d2d03499e09c77,ev_7a827e4d721f,hm_1602ff939866,1.7828001976013184,False
0.01,0.0005,1000,sol_842ad0b00a5a86c7,ev_7ab85ec41569,hm_bd4d3751a16f,1.2574663162231445,False
0.01,0.0005,700,sol_128d0322ab3e8718,ev_7abf74d441d1,hm_bd4d3751a16f,1.761690616607666,False
0.02,0.0005,1000,sol_caa94eb1f713a328,ev_7ace8d81035a,hm_f442e5139114,4.225349426269531,False
0.02,0.0005,50,sol_f74a2a05db7b31f0,ev_7adcf058c6be,hm_f442e5139114,0.5669996738433838,False
0.05,0.0003,400,sol_8f24fd69bf1cdd7b,ev_7aee8709872f,hm_8c986396d3ec,8.272436141967773,False
0.05,0.0005,100,sol_c9b77dae8ad25d1a,ev_7b0254b6a2d6,hm_af8fc4d5852f,1.699714183807373,False
0.0,0.0003,100,sol_c102e5e08c1da391,ev_7b34d3648882,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0003,10,sol_cb7c3299d7106d29,ev_7b3b02e6e4c5,hm_1602ff939866,0.4545454680919647,False
0.0,0.0001,10,sol_ab553fb1890c565f,ev_7b4f15266f4e,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,100,sol_b68b110b1a731861,ev_7b57927ceae6,hm_8c986396d3ec,1.4999977350234985,False
0.0,0.0001,10,sol_9753220048c0b62e,ev_7b7a0c3c815a,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0001,50,sol_c4c1c3e564d3bf26,ev_7ba3c06c3b42,hm_9108b6e19b67,0.7598162889480591,False
0.0,0.0005,10,sol_153a78c47f7a6659,ev_7bae52edded0,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0003,400,sol_7003f6a0134a1d00,ev_7bba4bbd99f4,hm_1602ff939866,1.499989628791809,False
0.02,0.0003,10,sol_315af9b8d2d34fc5,ev_7bbc1f6ab9b8,hm_1602ff939866,0.4545454680919647,False
0.0,0.0001,50,sol_566aa713ab38586c,ev_7bddc5ac6de0,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,200,sol_0d439727ed5242c2,ev_7c001219cd93,hm_844cdcf42c7e,0.5996116995811462,False
0.05,0.0003,50,sol_e89334d6fabb580a,ev_7c1d22ad095b,hm_8c986396d3ec,0.6551443934440613,False
0.0,0.0001,1000,sol_bbb0c94684f54afa,ev_7c3483dc57d1,hm_a00ad2a2c52a,0.8966502547264099,False
0.05,0.0005,700,sol_7f171a6bd7668550,ev_7c64b9863edf,hm_af8fc4d5852f,1235.2294921875,True
0.02,0.0001,50,sol_0710832e77100b3e,ev_7cf4223c4ee9,hm_979a58ab8892,0.5669772028923035,False
0.05,0.0003,100,sol_862e27ec72bd8fe8,ev_7cfffccaf6c1,hm_8c986396d3ec,1.761764645576477,False
0.05,0.0003,700,sol_4a6d7e42b8f84da1,ev_7d0925e1f118,hm_8c986396d3ec,1449.633056640625,True
0.05,0.0005,10,sol_cf8c01457ab1406c,ev_7d266f6d6e1a,hm_af8fc4d5852f,0.5670102834701538,False
0.0,0.0005,20,sol_4fafd9184515c1a0,ev_7d5abd38203d,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0001,50,sol_c0ebde6b781c6356,ev_7d7010f4464d,hm_979a58ab8892,0.4545454680919647,False
0.05,0.0003,200,sol_e1aaa7b3a1491977,ev_7da3bbfae19c,hm_8c986396d3ec,1.7923954725265503,False
0.05,0.0005,200,sol_386bdb51f99a76b0,ev_7dcb273fb9b4,hm_af8fc4d5852f,10.065452575683594,False
0.0,0.0003,100,sol_2f128abaee440d84,ev_7dd6354a2b90,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0003,20,sol_29e916609e0addc3,ev_7e2869ed7459,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0003,20,sol_8581e6010d3a412b,ev_7e3ad041efa4,hm_3298667cddaa,0.4545454680919647,False
0.05,0.0003,700,sol_c754777a617dc00a,ev_7e407a09a90d,hm_8c986396d3ec,327.4818115234375,True
0.02,0.0003,10,sol_c60557a56175a3f4,ev_7e90b5d298dd,hm_1602ff939866,0.4545454680919647,False
0.0,0.0001,50,sol_f63921c4f829af3f,ev_7e90fe896867,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,50,sol_80a20763cb708aae,ev_7ea6a4fe00bc,hm_844cdcf42c7e,0.4545454680919647,False
0.05,0.0005,20,sol_c28e3dc4e984844f,ev_7eb3324228cb,hm_af8fc4d5852f,0.6723390817642212,False
0.01,0.0003,400,sol_61660ffaeefa6051,ev_7ec210cdace6,hm_3298667cddaa,1.4999762773513794,False
0.02,0.0001,50,sol_591a7919d735331e,ev_7ed0144b2469,hm_979a58ab8892,0.566980242729187,False
0.05,0.0001,50,sol_d366c5c687236498,ev_7eef296e1fe2,hm_9108b6e19b67,0.7440316081047058,False
0.05,0.0005,20,sol_7b80505e03aa06a3,ev_7f0b0a71adcd,hm_af8fc4d5852f,0.5670102834701538,False
0.01,0.0001,1000,sol_e8a31a01aa1147aa,ev_7f20eb12ca46,hm_844cdcf42c7e,1.761029601097107,False
0.0,0.0001,700,sol_d9a7e7c148be4692,ev_7f393c2b360d,hm_a00ad2a2c52a,0.5641646385192871,False
0.0,0.0001,400,sol_04fc7a4397a308dc,ev_7f776a17fb6a,hm_a00ad2a2c52a,0.454545259475708,False
0.01,0.0001,50,sol_314b9344db76ec01,ev_7f8725bf2f20,hm_844cdcf42c7e,0.4545454680919647,False
0.0,0.0003,1000,sol_1efc8b9c4e16316b,ev_7f97c35aedf8,hm_a0f8ed47a107,1.4999796152114868,False
0.01,0.0005,10,sol_48f5468467fb95b5,ev_7fadeeaa4a37,hm_bd4d3751a16f,0.4545454680919647,False
0.0,0.0005,50,sol_315cb3d61efa22bd,ev_7fb25fb68550,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0001,1000,sol_cdb424bd46b02b2d,ev_7fbd16b588e6,hm_844cdcf42c7e,0.9841964244842529,False
0.01,0.0005,50,sol_e60967787eced566,ev_7fcbc6776661,hm_bd4d3751a16f,0.672130823135376,False
0.05,0.0005,20,sol_cebd87aede992ffc,ev_8028254be2c7,hm_af8fc4d5852f,1.1077513694763184,False
0.01,0.0005,700,sol_5b42a235a2d85b74,ev_8038b9257a0c,hm_bd4d3751a16f,1.435103416442871,False
0.0,0.0005,10,sol_b52c533f1a3413f6,ev_806983f2fabc,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0005,200,sol_3401c50973eb8a06,ev_80781cb7838b,hm_af8fc4d5852f,1.7971642017364502,False
0.0,0.0001,700,sol_210a8c8f59e0e37c,ev_80de27f6c7a0,hm_a00ad2a2c52a,0.5641724467277527,False
0.01,0.0005,1000,sol_ae758f9761c7416d,ev_80e23ceefda5,hm_bd4d3751a16f,3.2496840953826904,False
0.05,0.0005,1000,sol_d022c71b2a32ae06,ev_8115c5f5af81,hm_af8fc4d5852f,1580.5394287109375,True
0.05,0.0005,700,sol_27d5bdd2343b4de6,ev_8127d56f51b8,hm_af8fc4d5852f,2012.304931640625,True
0.01,0.0005,200,sol_4cab32c6e76fb6cc,ev_8185f2473d76,hm_bd4d3751a16f,0.5670004487037659,False
0.02,0.0005,10,sol_6a99b5d9c9ddcb8c,ev_8193a591568f,hm_f442e5139114,0.4545454680919647,False
0.0,0.0005,200,sol_c8cdd9b80b5dae6e,ev_819bcd68fd6b,hm_7a9cff01f511,0.7814410924911499,False
0.0,0.0005,400,sol_ba7ec3c52b255663,ev_81f5dbcab4b2,hm_7a9cff01f511,0.7823344469070435,False
0.01,0.0005,200,sol_c686616dee02deb5,ev_82106b9d397c,hm_bd4d3751a16f,0.6979612112045288,False
0.01,0.0001,700,sol_6f35d6dc4d866c19,ev_821e580a306f,hm_844cdcf42c7e,0.8557974696159363,False
0.0,0.0003,700,sol_b7773b08f2e93e21,ev_824cacbe9752,hm_a0f8ed47a107,0.6290050148963928,False
0.02,0.0003,1000,sol_f44621bd667b5635,ev_825e366f1fc2,hm_1602ff939866,5.551811695098877,False
0.05,0.0005,10,sol_a5b9345ad1f250e2,ev_828867ee2f08,hm_af8fc4d5852f,0.4545454680919647,False
0.0,0.0003,10,sol_b5229f14745ef72e,ev_829064a52dfe,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0003,50,sol_0d4e14ff9925aafe,ev_82c9caace17d,hm_3298667cddaa,0.4545454680919647,False
0.0,0.0001,20,sol_a019508d6a9fb7d3,ev_83210ac59144,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,100,sol_b787c4e6d391ffde,ev_83c33bd16471,hm_979a58ab8892,0.8733235597610474,False
0.01,0.0005,10,sol_52a42b34cef84c8e,ev_83f5777be22b,hm_bd4d3751a16f,0.4545454680919647,False
0.02,0.0001,100,sol_d1a703f1f61e6f48,ev_83fccba369c3,hm_979a58ab8892,1.499991774559021,False
0.01,0.0005,1000,sol_02554a0249d3ee9e,ev_842d0d439766,hm_bd4d3751a16f,5.094961166381836,False
0.0,0.0005,100,sol_503ddc3723f768c1,ev_8489cd0190b9,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0005,200,sol_d934ddbd90fdf87f,ev_84916935d547,hm_bd4d3751a16f,0.855263352394104,False
0.05,0.0003,20,sol_6fc1d2574cf006c0,ev_84a53d474964,hm_8c986396d3ec,0.6000000238418579,False
0.0,0.0005,20,sol_cf8b3d32a70cbb01,ev_84d8f8fb76e2,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0001,700,sol_c556fa51baf1a7e1,ev_84e513448661,hm_9108b6e19b67,501.85906982421875,True
0.01,0.0001,20,sol_0c4427457158f940,ev_84fb1c276072,hm_844cdcf42c7e,0.4545454680919647,False
0.01,0.0001,1000,sol_f0ece1e14adbecbd,ev_84ff8df0a5ea,hm_844cdcf42c7e,1.7615199089050293,False
0.0,0.0005,400,sol_4e11c85c10f8ede0,ev_85013f402c84,hm_7a9cff01f511,0.7663027048110962,False
0.01,0.0001,200,sol_498d3055432f4d0a,ev_8533288df9e6,hm_844cdcf42c7e,0.5669764876365662,False
0.05,0.0003,700,sol_273263c536e14e66,ev_853befe705fd,hm_8c986396d3ec,85.23735809326172,True
0.0,0.0005,20,sol_d738020fb5c24ceb,ev_856ee6cfdc29,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0001,200,sol_b2d25c38d6fe779d,ev_857bf3f41df4,hm_844cdcf42c7e,0.5669551491737366,False
0.01,0.0003,100,sol_fdcada730fb197c7,ev_85a87c6e7511,hm_3298667cddaa,0.4545454680919647,False
0.01,0.0001,20,sol_6634a9c2a82b3149,ev_85b8bb4cc53d,hm_844cdcf42c7e,0.4545454680919647,False
0.01,0.0005,20,sol_f4efa56eb5752ec7,ev_85d64062e295,hm_bd4d3751a16f,0.4545454680919647,False
0.0,0.0005,200,sol_9d1c3c82152a4117,ev_86197d584030,hm_7a9cff01f511,0.5996919870376587,False
0.0,0.0001,20,sol_b20388379e580d25,ev_861e2910cda5,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,50,sol_84abbea2dd0ee8fc,ev_86466ceda6ad,hm_3298667cddaa,0.4545454680919647,False
0.02,0.0003,10,sol_042f53e074d10665,ev_8658d0a737f3,hm_1602ff939866,0.4545454680919647,False
0.02,0.0003,400,sol_4ed2ba2b8994d1e5,ev_8659fcb0de51,hm_1602ff939866,4.332961082458496,False
0.01,0.0005,20,sol_7d505c965752cdfb,ev_8661c408515e,hm_bd4d3751a16f,0.4545454680919647,False
0.01,0.0005,700,sol_8085020e6fd746ad,ev_869f867dd21e,hm_bd4d3751a16f,1.412479281425476,False
0.02,0.0003,700,sol_593729d242081c5b,ev_86ff4579b486,hm_1602ff939866,2.4194202423095703,False
0.0,0.0005,100,sol_dd219d84b78e1c68,ev_879d60687c7d,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0005,50,sol_f04b9ba6e06d3a7f,ev_87a1dcf501c5,hm_af8fc4d5852f,0.599856972694397,False
0.02,0.0001,50,sol_5202479e80085c3a,ev_87cf7589b995,hm_979a58ab8892,0.4545454680919647,False
0.05,0.0005,20,sol_818142eadf5b4008,ev_87d87ec5372b,hm_af8fc4d5852f,0.5670102834701538,False
0.05,0.0005,10,sol_8fbff20094c76b1f,ev_87e9acacab18,hm_af8fc4d5852f,0.4545454680919647,False
0.0,0.0001,400,sol_0b8f19845492bc79,ev_8819793a7ec4,hm_a00ad2a2c52a,0.5669739246368408,False
0.01,0.0005,20,sol_dcc62b0df262ab22,ev_882b3c44b9ac,hm_bd4d3751a16f,0.4545454680919647,False
0.05,0.0001,200,sol_7f74ca02da5666cb,ev_882f0ac8f454,hm_9108b6e19b67,2.141848087310791,False
0.02,0.0005,400,sol_0c7d43864a3b9855,ev_8830e1dd7698,hm_f442e5139114,1.7611403465270996,False
0.01,0.0003,1000,sol_4bcb4e758185dcae,ev_88378eaa7726,hm_3298667cddaa,1.369269609451294,False
0.0,0.0003,700,sol_f313eb9beee63099,ev_884b3471eef8,hm_a0f8ed47a107,0.9595451354980469,False
0.0,0.0005,20,sol_b5a9c8a1acd8bf5f,ev_886cfea2e997,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,50,sol_2f5f3a5df85a7205,ev_88d9f9e2c556,hm_f442e5139114,0.7608804106712341,False
0.0,0.0001,50,sol_bf75f16e9a3d724c,ev_88e3f0ff926c,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0005,50,sol_47db29a1aff36e10,ev_88fd0f2cb19a,hm_bd4d3751a16f,0.5669775605201721,False
0.02,0.0003,20,sol_a795bc2219669a4e,ev_892d46522cf7,hm_1602ff939866,0.5670102834701538,False
0.05,0.0003,50,sol_ca3f46aaa759f148,ev_895f0afe29f0,hm_8c986396d3ec,1.1330565214157104,False
0.01,0.0003,10,sol_34b7e6e41982cb6c,ev_898432dd35e9,hm_3298667cddaa,0.4545454680919647,False
0.0,0.0003,700,sol_2bbcd1f2a1daca84,ev_8a19a5cb2fc5,hm_a0f8ed47a107,0.7605007886886597,False
0.05,0.0003,700,sol_035d56a0143f7f2b,ev_8a1d15918825,hm_8c986396d3ec,643.578125,True
0.05,0.0005,1000,sol_b5ad462095a52e33,ev_8a2fe23928ad,hm_af8fc4d5852f,966.4319458007812,True
0.02,0.0001,700,sol_6ef7ab28cb61f180,ev_8a3d54f8852d,hm_979a58ab8892,6.575911521911621,False
0.0,0.0005,700,sol_a177d0f15f7e7d17,ev_8a43439a71d7,hm_7a9cff01f511,1.4351840019226074,False
0.0,0.0003,50,sol_33f9c2865cacd760,ev_8a690bc6413e,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0005,100,sol_b22ab548270f26ee,ev_8a6a81161e78,hm_bd4d3751a16f,0.5670021176338196,False
0.0,0.0005,1000,sol_40165830e5047845,ev_8a9ed4d3bb66,hm_7a9cff01f511,1.4996291399002075,False
0.0,0.0005,200,sol_e61d892c66d50f28,ev_8acba70e275b,hm_7a9cff01f511,0.5669742822647095,False
0.02,0.0003,200,sol_afebcbea9191ab29,ev_8ad454ba628b,hm_1602ff939866,0.7349105477333069,False
0.05,0.0005,200,sol_1e0da2d53abfe851,ev_8affa643cd91,hm_af8fc4d5852f,2.679159164428711,False
0.01,0.0005,10,sol_ef50983cd7a2c268,ev_8b185ed8334e,hm_bd4d3751a16f,0.4545454680919647,False
0.02,0.0005,100,sol_031d31aa1795cc2d,ev_8b50dd7448ab,hm_f442e5139114,1.2783650159835815,False
0.0,0.0003,50,sol_814c3c4c920f1dff,ev_8bc35603a4bb,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0001,400,sol_a855a19b337f4456,ev_8bd7529b9446,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,10,sol_1e74256cbd19850b,ev_8be8f2f782ed,hm_3298667cddaa,0.4545454680919647,False
0.05,0.0003,20,sol_4046c78876a04ab7,ev_8c075832f597,hm_8c986396d3ec,0.7349397540092468,False
0.01,0.0005,200,sol_ef14318adf73983d,ev_8c58a86aaec4,hm_bd4d3751a16f,0.759909987449646,False
0.05,0.0005,10,sol_c3696f577b260b4e,ev_8c745099798d,hm_af8fc4d5852f,0.4545454680919647,False
0.0,0.0001,200,sol_67e0a7db8fc52e16,ev_8ca587c1d22b,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,400,sol_950caf5ffaabd6a4,ev_8cd4519dea9b,hm_3298667cddaa,1.037034034729004,False
0.01,0.0003,20,sol_83992f2dd88a47cd,ev_8cf0f75fa169,hm_3298667cddaa,0.4545454680919647,False
0.02,0.0005,200,sol_fce6be7e1b3d4d7f,ev_8d1f8306a06f,hm_f442e5139114,0.8059754371643066,False
0.0,0.0005,400,sol_46e22ef88d831ab5,ev_8d3a7b2963aa,hm_7a9cff01f511,0.6506848931312561,False
0.0,0.0001,10,sol_874fc1b056a02ef9,ev_8d55c23834e3,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0001,700,sol_e58727452c79f456,ev_8d5af771cb7d,hm_a00ad2a2c52a,0.6717831492424011,False
0.01,0.0001,200,sol_7462ca24da4d608b,ev_8d80155ca28a,hm_844cdcf42c7e,0.5998886227607727,False
0.0,0.0003,20,sol_1f408d8b53db2bc2,ev_8d846d1c4e30,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,700,sol_d537fbbe137df6d1,ev_8da89f7b611e,hm_844cdcf42c7e,1.4350159168243408,False
0.0,0.0005,200,sol_88841f3fe30c45f1,ev_8dc30474b502,hm_7a9cff01f511,0.5669864416122437,False
0.02,0.0001,200,sol_4cd5b013345b0db3,ev_8dde2310ba1d,hm_979a58ab8892,1.391889214515686,False
0.02,0.0005,700,sol_0abc319815dd958a,ev_8e08114f4573,hm_f442e5139114,5.473007678985596,False
0.01,0.0001,50,sol_c28f6a6b6c611fc6,ev_8e2adc0d4af1,hm_844cdcf42c7e,0.4545454680919647,False
0.02,0.0001,10,sol_81e84125208b1212,ev_8e2e158b3525,hm_979a58ab8892,0.4545454680919647,False
0.01,0.0003,200,sol_e45f2966dd107bfe,ev_8e6a2157cbca,hm_3298667cddaa,1.5512109994888306,False
0.01,0.0005,20,sol_8d226f3952010a12,ev_8e8f8b583d43,hm_bd4d3751a16f,0.4545454680919647,False
0.05,0.0001,700,sol_8fa1e907f82d5d45,ev_8e9db691f9e8,hm_9108b6e19b67,5135.52294921875,True
0.01,0.0001,20,sol_7a17f95d28796538,ev_8ea3809effd8,hm_844cdcf42c7e,0.4545454680919647,False
0.02,0.0003,50,sol_375b27d1984a4602,ev_8eb74200d5b0,hm_1602ff939866,0.4545454680919647,False
0.05,0.0003,1000,sol_27efc2a4113ea83e,ev_8ec7f35e9c40,hm_8c986396d3ec,1183.456298828125,True
0.02,0.0005,700,sol_3c39e7a925928a6b,ev_8ed9726ac4f3,hm_f442e5139114,14.897942543029785,False
0.01,0.0003,200,sol_d5327a9396452740,ev_8eff2fada57c,hm_3298667cddaa,0.5999617576599121,False
0.02,0.0001,1000,sol_2a757294c9bd7b3d,ev_8eff882cd319,hm_979a58ab8892,40.80915451049805,False
0.01,0.0005,50,sol_9408767afcf7c06a,ev_8f0d6a28d584,hm_bd4d3751a16f,0.4545454680919647,False
0.01,0.0001,10,sol_8effd222c5b50161,ev_8f1578518198,hm_844cdcf42c7e,0.4545454680919647,False
0.01,0.0003,20,sol_05f03af0b3897b82,ev_8f2d5c79a511,hm_3298667cddaa,0.4545454680919647,False
0.0,0.0001,100,sol_9da21af68b7bbbc8,ev_8f30492cded6,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,700,sol_cdaf9308fb15ebe5,ev_8f32a8e3b460,hm_844cdcf42c7e,1.390830397605896,False
0.02,0.0003,400,sol_95c7e3f0b324c485,ev_8f7a8feb4451,hm_1602ff939866,1.4348807334899902,False
0.01,0.0005,100,sol_7fd3629670c59006,ev_8f892468821c,hm_bd4d3751a16f,0.6000000238418579,False
0.05,0.0001,200,sol_8370506987a5a35c,ev_9000a73e595e,hm_9108b6e19b67,38.497459411621094,False
0.01,0.0003,1000,sol_5c9fed4a09bf8da6,ev_9057e71e1bc4,hm_3298667cddaa,1.4992502927780151,False
0.02,0.0003,200,sol_12dc1cd598fdd0ed,ev_90a0971198c8,hm_1602ff939866,0.642227053642273,False
0.02,0.0003,1000,sol_00a3e53c1a1b0362,ev_90ee07ff9eae,hm_1602ff939866,4.496497631072998,False
0.02,0.0003,700,sol_04db0800704c8aeb,ev_911fdd4910bf,hm_1602ff939866,5.035272121429443,False
0.01,0.0005,400,sol_9fabe32c3ac3bd4a,ev_91296e1af6a0,hm_bd4d3751a16f,0.7674384117126465,False
0.02,0.0003,10,sol_98a4f83288b7ac43,ev_914c1b394996,hm_1602ff939866,0.4545454680919647,False
0.01,0.0005,1000,sol_45a4706ee30b1761,ev_9153e9d1c755,hm_bd4d3751a16f,2.6895830631256104,False
0.05,0.0003,10,sol_cae214681ea8cb8f,ev_9191ff3becb0,hm_8c986396d3ec,0.5670102834701538,False
0.05,0.0001,400,sol_9f03f841cf20b08f,ev_91ea9252d8a4,hm_9108b6e19b67,19.14568328857422,False
0.05,0.0001,200,sol_1ce64d803beb63ec,ev_920586a4eb65,hm_9108b6e19b67,10.968018531799316,False
0.0,0.0005,20,sol_35bd3cb99fba3c41,ev_923d77befe09,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0003,700,sol_85bb172fb0733f3e,ev_925a067a7a84,hm_a0f8ed47a107,0.5998678803443909,False
0.02,0.0005,20,sol_7baab6fd57f02a31,ev_92650d60a863,hm_f442e5139114,0.4545454680919647,False
0.01,0.0001,10,sol_87bdb1f8b494804a,ev_9265c0565f23,hm_844cdcf42c7e,0.4545454680919647,False
